uuid,vorname,nachname,geschlecht,geburtsjahr,todesjahr,vater,mutter,letzter_partner,erbfolge,kinderzahl,kinder,herkunft,kisatris_primogen,amtsantritt,comment,erbfolge_geburt
895,Imke Karoline Caroline,von Möwenburg,f,-407,-362,894,613,1354,15,5,"1370,1892,1926,1941,1962,",MB,Z,,,1
896,Dorothea Amalie Dior,Dorn,f,-454,-382,,,,,0,,EW,Z,,,
897,Bernhard,Witt,m,-442,-406,,,,,0,,MB,Z,,,
898,Niroi Frederic,Freiherr von Lamer,m,-437,-374,,,,,0,,KS,Z,,,
899,Caspar Christian,von Tiefenfels,m,-406,-355,327,471,1528,21,4,"1345,1478,1503,1529,",TF,Z,,,1
900,Sophie Eva,von Tiefenfels,f,-406,-394,327,471,,21,0,,TF,Z,,,1
901,Georg Julien,Graf von Montagne,m,-436,-406,,,473,,1,"902,",KS,Z,,,
902,Charlotte,von Kisatris,f,-406,-349,901,473,1371,21,1,"1372,",KS,AAHAA,,,2
903,Gustav Philipp Julius August,Schott,m,-428,-406,,,566,,1,"904,",TF,Z,,,
904,Elurin Barbara Eleonore,von Eichenwald,f,-406,-379,903,566,1454,18,1,"1455,",EW,Z,,,3
905,Philipp,Baron von Lelac,m,-427,-392,,,,,0,,KS,Z,,,
906,Schem Imke Johanna,Buck,f,-426,-406,,,592,,1,"907,",MU,Z,,,
907,Paul Julien Johann,von Tiefenfels,m,-406,-349,592,906,1373,22,2,"1347,1374,",TF,Z,,,2
908,Marie Juliane,Gräfin von Montagne,f,-426,-405,,,,,0,,KS,Z,,,
909,Friederike Nelenia,Freifrau von Glace,f,-425,-402,,,602,,1,"910,",KS,Z,,,
910,Juliane Charlotte,von Kisatris,f,-406,-344,602,909,1456,20,1,"1457,",KS,AAADAA,,,1
911,Paul,Freiherr von Maree,m,-425,-372,,,608,,1,"912,",KS,Z,,,
912,Ida Johanna Zoe,von Kisatris,f,-406,-383,911,608,,21,0,,KS,AFBAB,,,2
913,Hermann Leopold,von Bergetal,m,-406,-404,254,617,,16,0,,BT,Z,,,3
914,Elise Zoe,Henze,f,-424,-395,,,,,0,,TF,Z,,,
915,Joseph Ludwig,Freiherr von Lamer,m,-424,-357,,,621,,1,"916,",KS,Z,,,
916,Joseph Maximilian,von Kisatris,m,-406,-401,915,621,,20,0,,KS,AAADBA,,,1
917,Jakob,Wessel,m,-424,-406,,,622,,1,"918,",BT,Z,,,
918,Jakob Theodor Richard,von Möwenburg,m,-406,-326,917,622,1090,13,5,"1350,1430,1459,1665,1718,",MB,Z,-360,Amtsantritt mit entfernung zum alten Fürsten: 1,1
919,Ludwig Heinrich Anton,Hauser,m,-424,-406,,,623,,1,"920,",TF,Z,,,
920,Sinje Maria Juna Marianne,von Möwenburg,f,-406,-389,919,623,,15,0,,MB,Z,,,1
921,Johannes,Freiherr von Mouton,m,-424,-406,,,625,,1,"922,",KS,Z,,,
922,Elurin Agnes Anna,von Eichenwald,f,-406,-397,921,625,,18,0,,EW,Z,,,3
923,Anne Therese,Schatz,f,-424,-388,,,,,0,,TF,Z,,,
924,Emma,Sieber,f,-424,-368,,,637,,1,"925,",EW,Z,,,
925,Friedrich Michael Otto Ernst,von Bergetal,m,-406,-375,637,924,1061,16,2,"1432,1639,",BT,Z,,,3
926,Emma,Liedtke,f,-443,-405,,,,,0,,MB,Z,,,
927,Christoph,Freiherr von Ciel,m,-437,-405,,,,,0,,KS,Z,,,
928,Christiane Catharina,Freiin von Guerre,f,-435,-405,,,483,,1,"929,",KS,Z,,,
929,Clara,von Kisatris,f,-405,-322,483,928,1392,21,1,"1393,",KS,ADABCB,,,2
930,Maria,Steffens,f,-434,-364,,,,,0,,MB,Z,,,
931,Caroline Lea Marie,Freiin von Plaje,f,-427,-405,,,,,0,,KS,Z,,,
932,Christina Zoe,Baroness von Manson,f,-425,-336,,,602,,1,"933,",KS,Z,,,
933,Wilhelm Gustav Heinrich Johannes,von Kisatris,m,-405,-397,602,932,,20,0,,KS,AAADAB,,,1
934,August Martin,Götz,m,-425,-405,,,604,,1,"935,",TF,Z,,,
935,Martin Ernst Hans,von Eichenwald,m,-405,-400,934,604,,18,0,,EW,Z,,,3
936,Carl Maximilian,Klose,m,-424,-366,,,,,0,,TF,Z,,,
937,Clara Magdalena,Möller,f,-424,-363,,,619,,1,"938,",MB,Z,,,
938,Rieke Marianne Barbara,von Möwenburg,f,-405,-391,619,937,,17,0,,MB,Z,,,3
939,Otto Martin,Braon von Foret,m,-424,-388,,,,,0,,KS,Z,,,
940,Eva,von Tiefenfels,f,-405,-397,628,651,,22,0,,TF,Z,,,2
941,Wiebke,Aßmann,f,-424,-405,,,,,0,,MU,Z,,,
942,Eike Otto,Stamm,m,-423,-341,,,647,,1,"943,",MU,Z,,,
943,Ashild Ursula Dis,von Bergetal,f,-405,-322,942,647,1314,15,4,"1453,1506,1555,1797,",BT,Z,,,2
944,Christoph Johann Jules,Tietz,m,-423,-376,,,,,0,,TF,Z,,,
945,Clara Camille,Fürst,f,-454,-404,,,,,0,,TF,Z,,,
946,Eleonore Johanna,Metz,f,-434,-404,,,,,0,,TF,Z,,,
947,Martin,Graf von Montagne,m,-430,-404,,,532,,1,"948,",KS,Z,,,
948,Martin Louis,von Kisatris,m,-404,-388,947,532,,20,0,,KS,AAAFD,,,1
949,Nelenia Jade,Freifrau von Greve,f,-427,-371,,,574,,1,"950,",KS,Z,,,
950,Anton Joseph Julien,von Kisatris,m,-404,-349,574,949,,21,0,,KS,ACAACA,,,2
951,Hedwig Clara,Sommer,f,-426,-404,,,,,0,,BT,Z,,,
952,Charlotte Nelenia Elise,Baronin von  Lepain,f,-425,-404,,,602,,1,"953,",KS,Z,,,
953,Andreas Joseph Leo August,von Kisatris,m,-404,-351,602,952,1395,20,1,"1396,",KS,AAADAC,,,1
954,Anne Caroline,Baronin von Foret,f,-424,-404,,,,,0,,KS,Z,,,
955,Elise,Freifrau von Maree,f,-424,-371,,,632,,1,"956,",KS,Z,,,
956,Fiete Fritz Nils Jakob,von Möwenburg,m,-404,-334,632,955,1397,17,2,"1398,1433,",MB,Z,,,3
957,Juliane,Freiin von Ciel,f,-423,-395,,,,,0,,KS,Z,,,
958,Andreas Friedrich,Baur,m,-423,-404,,,647,,1,"959,",EW,Z,,,
959,Nelenia Oddrun,von Bergetal,f,-404,-386,958,647,,15,0,,BT,Z,,,2
960,Anne,Freiin von Ciel,f,-423,-376,,,,,0,,KS,Z,,,
961,Friederike Lea,von Tiefenfels,f,-404,-368,653,509,1690,21,3,"1400,1557,1691,",TF,Z,,,1
962,Christiane Charlotte,von Tiefenfels,f,-404,-357,653,509,1030,21,4,"1402,1577,1610,1699,",TF,Z,,,1
963,Juliane,Lange,f,-454,-351,,,,,0,,TF,Z,,,
964,Christoph Otto,Baron von Lelac,m,-437,-398,,,446,,1,"965,",KS,Z,,,
965,Christoph Heinrich Gustav,von Kisatris,m,-403,-338,964,446,,21,0,,KS,ACBACD,,,2
966,Louise Zoe Nelenia,Freifrau von Guerre,f,-429,-391,,,544,,1,"967,",KS,Z,,,
967,Hermann Johann Christoph,von Kisatris,m,-403,-356,544,966,1692,20,4,"1414,1482,1662,1693,",KS,AAAHB,,,1
968,Frederic Maximilian,Freiherr von Guerre,m,-427,-403,,,580,,1,"969,",KS,Z,,,
969,Johanna Ida,von Kisatris,f,-403,-382,968,580,,21,0,,KS,AAHDB,,,2
970,Luca Clement Frederic,Baron von Lelac,m,-424,-388,,,621,,1,"971,",KS,Z,,,
971,Anne Frieda Nelenia,von Kisatris,f,-403,-385,970,621,1415,20,1,"1416,",KS,AAADBB,,,1
972,Anton,Freiherr von Greve,m,-424,-356,,,630,,1,"973,",KS,Z,,,
973,Emma Marie,von Kisatris,f,-403,-396,972,630,,21,0,,KS,AABAAAA,,,2
974,Louise Frieda,Baronin von Manson,f,-423,-383,,,,,0,,KS,Z,,,
975,Zoe Friederike Therese,von Tiefenfels,f,-403,-388,592,649,,22,0,,TF,Z,,,2
976,Julie,von Tiefenfels,f,-403,-373,649,592,1090,22,5,"1436,1509,1634,1666,1723,",TF,Z,,,2
977,Andreas Maximilian,Baron von Paysage,m,-421,-400,,,670,,1,"978,",KS,Z,,,
978,Sibylle Caroline Clara Louise,von Kisatris,f,-403,-363,977,670,,21,0,,KS,ACBAAAA,,,2
979,Johann Heinrich,Freiherr von Lamer,m,-421,-352,,,672,,1,"980,",KS,Z,,,
980,Clara,von Kisatris,f,-403,-365,979,672,,21,0,,KS,ABCAAAA,,,2
981,Eleonore Eva,von Tiefenfels,f,-402,-360,307,274,1895,21,2,"1463,1896,",TF,Z,,,1
982,Philipp Christoph Hermann Karl,von Eichenwald,m,-402,-374,455,625,1464,18,1,"1465,",EW,Z,,,3
983,Martin,Freiherr von Plaje,m,-427,-379,,,,,0,,KS,Z,,,
984,Eva,Hermann,f,-426,-394,,,591,,2,"985,1117,",TF,Z,,,
985,Anton Elurin,von Eichenwald,m,-402,-399,591,984,,18,0,,EW,Z,,,3
986,Luca,Graf von Aigul,m,-425,-390,,,608,,1,"987,",KS,Z,,,
987,Luca Jacques Julien,von Kisatris,m,-402,-372,986,608,,21,0,,KS,AFBAC,,,2
988,Theodor Louis Andreas,Baron von Poisson,m,-424,-392,,,621,,1,"989,",KS,Z,,,
989,Louis Jacques Julien,von Kisatris,m,-402,-303,988,621,1558,20,4,"1484,1503,1532,1559,",KS,AAADBC,,,1
990,Vagna,Kirchhoff,f,-424,-394,,,,,0,,BT,Z,,,
991,August,Freiherr von Greve,m,-424,-392,,,630,,1,"992,",KS,Z,,,
992,August Jacques Frederic Johannes,von Kisatris,m,-402,-380,991,630,,21,0,,KS,AABAAAB,,,2
993,Jade Ida,Baronin von  Lepain,f,-424,-402,,,632,,1,"994,",KS,Z,,,
994,Fiete Hugo,von Möwenburg,m,-402,-376,632,993,1439,17,1,"1440,",MB,Z,,,3
995,Charlotte,Freifrau von Ciel,f,-423,-402,,,643,,1,"996,",KS,Z,,,
996,Heinrich Christian,von Kisatris,m,-402,-365,643,995,,21,0,,KS,ACABFA,,,2
997,Ida Ursula,von Bergetal,f,-402,-309,509,672,1441,16,1,"1442,",BT,Z,,,3
998,Fiete,Peter,m,-421,-402,,,674,,1,"999,",MB,Z,,,
999,Fiete Maximilian,von Eichenwald,m,-402,-390,998,674,,18,0,,EW,Z,,,3
1000,Theodor Julius,von Bergetal,m,-402,-362,565,679,1533,16,1,"1534,",BT,Z,,,3
1001,Otto Erlan Michael,von Bergetal,m,-402,-360,679,565,1611,15,2,"1487,1612,",BT,Z,,,2
1002,Jacques Luca Leo Andreas Franc,Freiherr von Neige,m,-420,-396,,,686,,3,"1003,1079,1123,",KS,Z,,,
1003,Jacques Theodor Niroi Clement Jacob,von Kisatris,m,-402,-393,1002,686,,21,0,,KS,AABABAA,,,2
1004,Paul,Graf von Aurore,m,-437,-362,,,,,0,,KS,Z,,,
1005,Oddrun Karoline Christiane,Schnell,f,-433,-401,,,,,0,,BT,Z,,,
1006,Christiane,Freifrau von Ciel,f,-429,-401,,,544,,1,"1007,",KS,Z,,,
1007,Agnes Sibylle Emma,von Kisatris,f,-401,-388,544,1006,,20,0,,KS,AAAHC,,,1
1008,Johann Ernst Friedrich Rudolf,von Bergetal,m,-401,-389,462,617,,16,0,,BT,Z,,,3
1009,Christine,Heinz,f,-424,-381,,,619,,1,"1010,",MB,Z,,,
1010,Fiete Alrich,von Möwenburg,m,-401,-397,619,1009,,17,0,,MB,Z,,,3
1011,Niroi,Freiherr von Ciel,m,-424,-401,,,625,,1,"1012,",KS,Z,,,
1012,Mathilde Auguste,von Eichenwald,f,-401,-399,1011,625,,18,0,,EW,Z,,,3
1013,Auguste,Raschke,f,-424,-398,,,637,,1,"1014,",BT,Z,,,
1014,Bertha Ashild,von Bergetal,f,-401,-371,637,1013,1180,16,5,"1512,1683,1727,1749,1771,",BT,Z,,,3
1015,Christoph Jules Leo,Baron von Paysage,m,-421,-394,,,,,0,,KS,Z,,,
1016,Caroline Juliane,Schwab,f,-420,-385,,,679,,1,"1017,",BT,Z,,,
1017,Hermann Hubertus Buri Leopold,von Bergetal,m,-401,-364,679,1016,1468,16,3,"1469,1578,1613,",BT,Z,,,3
1018,Karl Hubertus,Köhler,m,-419,-384,,,705,,1,"1019,",BT,Z,,,
1019,Nelenia,von Bergetal,f,-401,-373,1018,705,1635,16,3,"1491,1615,1636,",BT,Z,,,3
1020,Niroi Carl,Baron von Poisson,m,-419,-401,,,706,,1,"1021,",KS,Z,,,
1021,Eva Christine Katharina,von Bergetal,f,-401,-368,1020,706,1694,16,3,"1514,1687,1695,",BT,Z,,,3
1022,Anne,von Kisatris,f,-401,-391,718,670,,21,0,,KS,ACBAAAB,,,2
1023,Jade Sophie,Freiin von Mouton,f,-437,-399,,,455,,1,"1024,",KS,Z,,,
1024,Johannes Leo,von Kisatris,m,-400,-344,455,1023,,21,0,,KS,ACBDAB,,,2
1025,Hermann Georg,von Bergetal,m,-400,-361,462,705,1696,16,4,"1493,1535,1580,1697,",BT,Z,,,3
1026,Clara,Schuhmacher,f,-428,-386,,,,,0,,MB,Z,,,
1027,Karoline,von Bergetal,f,-400,-360,628,714,1306,15,5,"1495,1708,1745,1843,1925,",BT,Z,,,2
1028,Andreas,Baron von Poisson,m,-421,-386,,,670,,1,"1029,",KS,Z,,,
1029,Camille,von Kisatris,f,-400,-392,1028,670,,21,0,,KS,ACBAAAC,,,2
1030,Eleonore Frieda Milja Barbara,von Bergetal,f,-400,-352,708,679,962,16,1,"1699,",BT,Z,,,3
1031,Solrun,von Bergetal,f,-400,-370,679,708,788,16,1,"1496,",BT,Z,,,3
1032,Charlotte,Baroness von Manson,f,-419,-364,,,,,0,,KS,Z,,,
1033,Wilhelm Jacques Martin,von Tiefenfels,m,-400,-369,694,547,1516,21,1,"1517,",TF,Z,,,2
1034,Elise,Freifrau von Plaje,f,-419,-398,,,699,,1,"1035,",KS,Z,,,
1035,Jacob Niroi Maximilian,von Kisatris,m,-400,-376,699,1034,,21,0,,KS,AFADA,,,2
1036,Franz Kili Theodor,Fuß,m,-419,-400,,,705,,1,"1037,",BT,Z,,,
1037,Kili August Georg Bifur Anton,von Bergetal,m,-400,-394,1036,705,,16,0,,BT,Z,,,3
1038,Helene Louise Camille,Freifrau von Sante,f,-418,-400,,,726,,1,"1039,",KS,Z,,,
1039,Andreas Gustav Frederic,von Kisatris,m,-400,-345,726,1038,,21,0,,KS,AAFCAA,,,2
1040,Katharina Christine,Fries,f,-418,-400,,,728,,1,"1041,",MU,Z,,,
1041,Eva Wilhelmine Johanna,von Eichenwald,f,-400,-375,728,1040,1582,18,2,"1564,1583,",EW,Z,,,3
1042,Joseph,Bauer,m,-418,-363,,,729,,1,"1043,",BT,Z,,,
1043,Joseph Joachim,von Eichenwald,m,-400,-381,1042,729,,18,0,,EW,Z,,,3
1044,Solrun Ida,Reitz,f,-429,-399,,,547,,1,"1045,",BT,Z,,,
1045,Eva Mathilde,von Möwenburg,f,-399,-389,547,1044,,17,0,,MB,Z,,,3
1046,Otto Clement Christoph,Graf von Aigul,m,-427,-396,,,588,,1,"1047,",KS,Z,,,
1047,Otto Carl,von Kisatris,m,-399,-377,1046,588,,21,0,,KS,AAFBAB,,,2
1048,Sibylle,Baronin von Poisson,f,-426,-399,,,,,0,,KS,Z,,,
1049,Solrun,Völker,f,-424,-399,,,628,,1,"1050,",BT,Z,,,
1050,Johanna Lea,von Tiefenfels,f,-399,-344,628,1049,1519,22,1,"1520,",TF,Z,,,3
1051,Jacob Julius Johannes,von Tiefenfels,m,-399,-394,653,509,,21,0,,TF,Z,,,2
1052,Anton Martin Hermann,von Tiefenfels,m,-399,-389,653,509,,21,0,,TF,Z,,,2
1053,Clara Ida,Freifrau von Neige,f,-419,-399,,,691,,1,"1054,",KS,Z,,,
1054,Therese Johanna,von Kisatris,f,-399,-386,691,1053,,21,0,,KS,ABCACA,,,2
1055,Ferdinand Johannes,Schön,m,-419,-399,,,693,,1,"1056,",MU,Z,,,
1056,Johannes Luca Andreas Ernst,von Tiefenfels,m,-399,-387,1055,693,,21,0,,TF,Z,,,2
1057,Jacob Otto Philipp,Steinbach,m,-419,-383,,,,,0,,TF,Z,,,
1058,Camille,Freifrau von Lamer,f,-419,-399,,,,,0,,KS,Z,,,
1059,Ida Ursula Lumiel,von Eichenwald,f,-399,-385,628,729,,18,0,,EW,Z,,,3
1060,Tauriel Eleonore Ursula,von Eichenwald,f,-399,-377,736,604,1565,18,1,"1566,",EW,Z,,,3
1061,Bertha Clara Elurin,von Eichenwald,f,-399,-319,604,736,925,18,3,"1538,1585,1639,",EW,Z,,,3
1062,Andreas Anton Michael,Scheel,m,-417,-377,,,738,,1,"1063,",MB,Z,,,
1063,Andreas Jakob Elurin,von Eichenwald,m,-399,-394,1062,738,,18,0,,EW,Z,,,3
1064,Emma,Freifrau von Ciel,f,-417,-338,,,740,,1,"1065,",KS,Z,,,
1065,Johanna Therese Jade,von Kisatris,f,-399,-397,740,1064,,21,0,,KS,ABCAABA,,,2
1066,Heinrich Julien,Freiherr von Mouton,m,-417,-399,,,742,,1,"1067,",KS,Z,,,
1067,Julien Jules Anton,von Kisatris,m,-399,-394,1066,742,,21,0,,KS,ACABABA,,,2
1068,Christian,Baron von  Lepain,m,-417,-387,,,,,0,,KS,Z,,,
1069,Clara Catharina Meril,Timm,f,-434,-381,,,,,0,,EW,Z,,,
1070,Barbara Ida,Lehner,f,-433,-398,,,509,,1,"1071,",BT,Z,,,
1071,Hans Caspar Otto Anton,von Bergetal,m,-398,-356,509,1070,1025,16,2,"1540,1580,",BT,Z,,,3
1072,Arwen Frieda,Lehnert,f,-427,-398,,,585,,1,"1073,",EW,Z,,,
1073,Meril,von Eichenwald,f,-398,-365,585,1072,1541,18,1,"1542,",EW,Z,,,3
1074,Joseph,Böhmer,m,-425,-393,,,604,,1,"1075,",MU,Z,,,
1075,Catharina Christiane Clara,von Eichenwald,f,-398,-348,1074,604,1811,18,3,"1587,2294,2315,",EW,Z,,,3
1076,Christina Julie,Freiin von Neige,f,-424,-398,,,,,0,,KS,Z,,,
1077,Clara,Hermann,f,-424,-398,,,628,,1,"1078,",TF,Z,,,
1078,Jade Juliane,von Tiefenfels,f,-398,-297,628,1077,1720,22,1,"1721,",TF,Z,,,3
1079,Luca Philipp Christoph,von Kisatris,m,-398,-363,1002,686,,21,0,,KS,AABABAB,,,2
1080,Maximilian Jacob,Ott,m,-419,-382,,,,,0,,MB,Z,,,
1081,Paul Leo,Bach,m,-418,-398,,,729,,1,"1082,",TF,Z,,,
1082,Peter,von Eichenwald,m,-398,-370,1081,729,1617,18,3,"1618,1669,1722,",EW,Z,,,3
1083,Shira Martha Esther Ilai,Lippert,f,-418,-367,,,731,,1,"1084,",MU,Z,,,
1084,Dorothea,von Möwenburg,f,-398,-332,731,1083,1628,15,2,"1620,2161,",MB,Z,,,1
1085,Frederic Martin Louis Joseph,Freiherr von Glace,m,-417,-398,,,,,0,,KS,Z,,,
1086,Emma Tauriel Nelenia,Drescher,f,-417,-398,,,746,,1,"1087,",EW,Z,,,
1087,Eva Eleonore Bertha,von Bergetal,f,-398,-392,746,1086,,15,0,,BT,Z,,,2
1088,Jacques Martin,Baron von Lelac,m,-416,-398,,,,,0,,KS,Z,,,
1089,Wilhelm Otto,Freiherr von Neige,m,-416,-389,,,764,,1,"1090,",KS,Z,,,
1090,Jade,von Kisatris,f,-398,-373,1089,764,976,18,7,"1544,1590,1634,1665,1666,1718,1723,",KS,AAABABA,-385,Amtsantritt nach Primogenität,1
1091,Amalia,Sonntag,f,-416,-398,,,765,,1,"1092,",MB,Z,,,
1092,Theodor Jules Andreas,von Tiefenfels,m,-398,-366,765,1091,788,21,6,"1546,1570,1650,1713,1733,1880,",TF,Z,,,2
1093,Heinrich Gustav,Hoyer,m,-416,-398,,,,,0,,TF,Z,,,
1094,Niroi,Baron von  Lepain,m,-437,-397,,,,,0,,KS,Z,,,
1095,Helene,Freifrau von Lamer,f,-426,-372,,,,,0,,KS,Z,,,
1096,Ludwig Wilhelm Paul Leo Frederic,Graf von Aigul,m,-424,-397,,,,,0,,KS,Z,,,
1097,Alrich,Hartwig,m,-423,-386,,,,,0,,MU,Z,,,
1098,Jules Christoph Louis,Burger,m,-419,-362,,,702,,1,"1099,",TF,Z,,,
1099,Jules Gustav Alrich,von Möwenburg,m,-397,-389,1098,702,,17,0,,MB,Z,,,3
1100,Solrun Nelenia,Kunkel,f,-418,-373,,,,,0,,BT,Z,,,
1101,Caspar Peter Ernst,Sommer,m,-417,-371,,,,,0,,BT,Z,,,
1102,Maximilian Jacob Jens Ferdinand,Kunkel,m,-417,-386,,,744,,1,"1103,",MB,Z,,,
1103,Maximilian Ludwig,von Eichenwald,m,-397,-335,1102,744,840,18,3,"1622,1672,1913,",EW,Z,,,3
1104,Karl,Niemeyer,m,-417,-397,,,,,0,,MB,Z,,,
1105,Caspar,Kolbe,m,-416,-379,,,769,,1,"1106,",TF,Z,,,
1106,Henriette Juliane Margarete,von Bergetal,f,-397,-320,1105,769,,16,0,,BT,Z,,,3
1107,Julien Theodor,Sievers,m,-416,-397,,,,,0,,TF,Z,,,
1108,Gustav Wilhelm,Freiherr von Greve,m,-415,-397,,,774,,1,"1109,",KS,Z,,,
1109,Agnes Camille,von Kisatris,f,-397,-383,1108,774,,21,0,,KS,ACBAABA,,,2
1110,Frieda Lea,Reichelt,f,-415,-397,,,788,,1,"1111,",TF,Z,,,
1111,Anton Idril Wilhelm,von Eichenwald,m,-397,-395,788,1110,,18,0,,EW,Z,,,3
1112,Karl Hermann,Wegner,m,-415,-397,,,790,,1,"1113,",EW,Z,,,
1113,Johanna,von Eichenwald,f,-397,-367,1112,790,1571,16,1,"1572,",EW,Z,,,1
1114,Christian Martin Anton,Graf von Aigul,m,-437,-396,,,446,,1,"1115,",KS,Z,,,
1115,Martin Gustav Wilhelm,von Kisatris,m,-396,-330,1114,446,,21,0,,KS,ACBACE,,,2
1116,Juliane Clara,von Tiefenfels,f,-396,-339,501,699,1914,18,4,"1594,1624,1810,1915,",TF,Z,-339,Amtsantritt mit entfernung zum alten Fürsten: 3,1
1117,Anton August,von Eichenwald,m,-396,-361,591,984,1673,18,2,"1626,1674,",EW,Z,,,3
1118,Dior,von Eichenwald,f,-396,-374,399,604,1643,18,1,"1644,",EW,Z,,,3
1119,Jade Luise,Kahle,f,-424,-396,,,,,0,,TF,Z,,,
1120,Jacques Louis Christian Georg,Freiherr von Glace,m,-424,-371,,,621,,1,"1121,",KS,Z,,,
1121,Charlotte,von Kisatris,f,-396,-383,1120,621,,20,0,,KS,AAADBD,,,1
1122,Georg Paul Eike,Stern,m,-423,-396,,,,,0,,MB,Z,,,
1123,Andreas Jacques Anton,von Kisatris,m,-396,-387,1002,686,,21,0,,KS,AABABAC,,,2
1124,Catharina Gertrud Eleonore,Engel,f,-419,-363,,,,,0,,EW,Z,,,
1125,Anne Juliane,Gräfin von Houle,f,-419,-396,,,708,,1,"1126,",KS,Z,,,
1126,Maximilian Julien Heinrich,von Kisatris,m,-396,-381,708,1125,,21,0,,KS,AAFDAA,,,2
1127,Caroline,Klug,f,-418,-392,,,,,0,,MU,Z,,,
1128,Richard Paul,von Eichenwald,m,-396,-362,780,738,746,18,2,"1725,1746,",EW,Z,,,3
1129,Kiirion Julien Johann Georg,von Tiefenfels,m,-396,-378,788,751,,21,0,,TF,Z,,,2
1130,Hermann Christian,von Bergetal,m,-396,-318,679,762,1701,16,2,"1646,1702,",BT,Z,,,3
1131,Johannes Andreas Paul,Freiherr von Mouton,m,-416,-388,,,764,,2,"1132,1285,",KS,Z,,,
1132,Paul Wilhelm Gustav,von Kisatris,m,-396,-395,1131,764,,19,0,,KS,AAABABB,,,1
1133,Eike Hans Anton,Grau,m,-416,-363,,,,,0,,MB,Z,,,
1134,Catharina,Freifrau von Sante,f,-416,-396,,,770,,1,"1135,",KS,Z,,,
1135,Carl Ludwig Jacques Maximilian,von Kisatris,m,-396,-357,770,1134,,21,0,,KS,ACAABAA,,,2
1136,Maximilian Christian Johann,Baron von Poisson,m,-415,-381,,,774,,1,"1137,",KS,Z,,,
1137,Amalie Zoe Catharina Camille,von Kisatris,f,-396,-391,1136,774,,21,0,,KS,ACBAABB,,,2
1138,Caroline,Brandes,f,-415,-396,,,780,,1,"1139,",BT,Z,,,
1139,Ursula,von Eichenwald,f,-396,-356,780,1138,1958,18,5,"1598,1753,1890,1898,1959,",EW,Z,,,3
1140,Sibylle,Post,f,-415,-370,,,,,0,,MB,Z,,,
1141,Caspar Johann Bernhard Joseph,Kunkel,m,-414,-396,,,800,,1,"1142,",TF,Z,,,
1142,Johann Karl,von Eichenwald,m,-396,-383,1141,800,,18,0,,EW,Z,,,3
1143,Anna Barbara,Eggers,f,-443,-395,,,,,0,,BT,Z,,,
1144,Charlotte,Baroness von Poisson,f,-440,-395,,,,,0,,KS,Z,,,
1145,Johann Richard,von Eichenwald,m,-395,-338,462,729,1899,18,3,"1745,1807,1900,",EW,Z,,,3
1146,Judith Imke Mareike Levke,Winkelmann,f,-434,-395,,,,,0,,MB,Z,,,
1147,Hermann,Barth,m,-425,-380,,,604,,1,"1148,",TF,Z,,,
1148,Lumiel Mathilde,von Eichenwald,f,-395,-393,1147,604,,18,0,,EW,Z,,,3
1149,Martin Friedrich Hermann,Esser,m,-424,-395,,,,,0,,EW,Z,,,
1150,Jules,Baron von Lelac,m,-424,-377,,,621,,1,"1151,",KS,Z,,,
1151,Juliane Nelenia,von Kisatris,f,-395,-386,1150,621,,20,0,,KS,AAADBE,,,1
1152,Elohir Kiirion Paul,Hoch,m,-423,-338,,,,,0,,EW,Z,,,
1153,Marianne Karoline,König,f,-420,-395,,,,,0,,MU,Z,,,
1154,Catharina Gertrud Lumiel,Kramer,f,-419,-373,,,697,,1,"1155,",EW,Z,,,
1155,Else Dorothea,von Möwenburg,f,-395,-391,697,1154,,17,0,,MB,Z,,,3
1156,Michael Kiirion Christoph,Klotz,m,-419,-395,,,714,,1,"1157,",EW,Z,,,
1157,Michael Balin Franz,von Bergetal,m,-395,-377,1156,714,1627,15,1,"1628,",BT,Z,,,2
1158,Wilhelm Bernhard Theodor Michael Ernst,von Tiefenfels,m,-395,-381,734,653,,21,0,,TF,Z,,,2
1159,Julie Clara Emma,Witte,f,-416,-357,,,,,0,,TF,Z,,,
1160,Alrich Peter,Menzel,m,-416,-356,,,,,0,,MU,Z,,,
1161,Konrad,Nowak,m,-416,-395,,,768,,1,"1162,",MU,Z,,,
1162,Michael,von Bergetal,m,-395,-369,1161,768,1677,16,1,"1678,",BT,Z,,,3
1163,Andreas,Freiherr von Glace,m,-416,-395,,,,,0,,KS,Z,,,
1164,Andreas August Leo,Freiherr von Glace,m,-415,-388,,,,,0,,KS,Z,,,
1165,Marianne Ida Katharina,Beckmann,f,-415,-359,,,783,,1,"1166,",EW,Z,,,
1166,Camille,von Tiefenfels,f,-395,-330,783,1165,1192,20,5,"1648,1680,1808,1846,1887,",TF,Z,,,1
1167,Maximilian,Pfeiffer,m,-433,-394,,,,,0,,MB,Z,,,
1168,Theodor,Westphal,m,-424,-357,,,617,,1,"1169,",TF,Z,,,
1169,Theodor Gustav,von Möwenburg,m,-394,-349,1168,617,,17,0,,MB,Z,,,3
1170,Shira Ursula,Schramm,f,-424,-394,,,,,0,,MU,Z,,,
1171,Wilhelm Paul August,von Tiefenfels,m,-394,-363,694,619,1847,21,1,"1848,",TF,Z,,,2
1172,Eva Zoe,Baroness von Paysage,f,-419,-376,,,697,,1,"1173,",KS,Z,,,
1173,Judith Henriette,von Möwenburg,f,-394,-363,697,1172,,17,0,,MB,Z,,,3
